lower,upper,rmd
4835703278458516698824704,9671406556917033397649407,24cef184714bbd030833904f5265c9c3e12a95a2
9671406556917033397649408,19342813113834066795298815,7c99ce73e19f9fbfcce4825ae88261e2b0b0b040
19342813113834066795298816,38685626227668133590597631,cd03c1e6268ce9b89e3c3eeab8d0f1b6e8cac281
38685626227668133590597632,77371252455336267181195263,c60111ed3d63b49665747b0e31eb382da5193535
77371252455336267181195264,154742504910672534362390527,fbc708d671c03e26661b9c08f77598a529858b5e
154742504910672534362390528,309485009821345068724781055,38a968fdfb457654c51bcfc4f9174d6ee487bb41
309485009821345068724781056,618970019642690137449562111,5c3862203d1e44ab3af441503e22db97b1c5097e
618970019642690137449562112,1237940039285380274899124223,d06b6e206691295ec345782d7ea0686969d8674b
1237940039285380274899124224,2475880078570760549798248447,9978f61b92d16c5f1a463a0995df70da1f7a7d2a
2475880078570760549798248448,4951760157141521099596496895,6534b31208fe6e100d29f9c9c75aac8bf06fbb38
4951760157141521099596496896,9903520314283042199192993791,463013cd41279f2fd0c31d0a16db3972bfffac8d
9903520314283042199192993792,19807040628566084398385987583,c6927a00970d0165327d0a6db7950f05720c295c
19807040628566084398385987584,39614081257132168796771975167,5ed822125365274262191d2b77e88d436dd56d88
39614081257132168796771975168,79228162514264337593543950335,2da63cbd251d23c7b633cb287c09e6cf888b3fe4
79228162514264337593543950336,158456325028528675187087900671,578d94dc6f40fff35f91f6fba9b71c46b361dff2
158456325028528675187087900672,316912650057057350374175801343,7eefddd979a1d6bb6f29757a1f463579770ba566
316912650057057350374175801344,633825300114114700748351602687,c01bf430a97cbcdaedddba87ef4ea21c456cebdb
633825300114114700748351602688,1267650600228229401496703205375,c7a7b23f6bd98b8aaf527beb724dda9460b1bc6e
1267650600228229401496703205376,2535301200456458802993406410751,7c1a77205c03b9909663b2034faa0b544e6bc96b
2535301200456458802993406410752,5070602400912917605986812821503,f72b812932f6d7102233971d65cec0a22b89e136
5070602400912917605986812821504,10141204801825835211973625643007,695fd6dcf33f47166b25de968b2932b351b0afc4
10141204801825835211973625643008,20282409603651670423947251286015,93022af9a38f3ebb0c3f15dd1c83f8fadaf64e74
20282409603651670423947251286016,40564819207303340847894502572031,7c957db6fdd0733bb83bc6d6d747711263ba50b0
40564819207303340847894502572032,81129638414606681695789005144063,505aaa63a5e209dfb90cee683a8e227a8c278e47
81129638414606681695789005144064,162259276829213363391578010288127,2e644e46b042ffa86da35c54d7275f1abe6d4911
162259276829213363391578010288128,324518553658426726783156020576255,b166c44f12c7fc565f37ff6288ee64e0f0ec9a0b
324518553658426726783156020576256,649037107316853453566312041152511,aeb0a0197442d4ade8ef41442d557b0e22b85ac0
649037107316853453566312041152512,1298074214633706907132624082305023,0e5f3c406397442996825fd395543514fd06f207
1298074214633706907132624082305024,2596148429267413814265248164610047,4cfc43fe12a330c8164251e38c0c0c3c84cf86f6
2596148429267413814265248164610048,5192296858534827628530496329220095,4e81efec43c5195aeca0e3877664330418b8e48e
5192296858534827628530496329220096,10384593717069655257060992658440191,ed673389e4b12925316f9166d56d701829e53cf8
10384593717069655257060992658440192,20769187434139310514121985316880383,42773005f9594cd16b10985d428418acb7f352ec
20769187434139310514121985316880384,41538374868278621028243970633760767,ea0f2b7576bd098921fce9bfebe37f6383e639a4
41538374868278621028243970633760768,83076749736557242056487941267521535,e3f381c34a20da049779b44cae0417c7fb2898d0
83076749736557242056487941267521536,166153499473114484112975882535043071,c97f9591e28687be1c4d972e25be7c372a3221b4
166153499473114484112975882535043072,332306998946228968225951765070086143,f4a4e1c11a5bbbd2fc139d221825407c66e0b8b4
332306998946228968225951765070086144,664613997892457936451903530140172287,ae6804b35c82f47f8b0a42d8c5e514fe5ef0a883
